satellite,date,lat,lon,pointid,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,BQA
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20151024,2015-10-24,97.65316772460938,24.15859031677246,001_1,0.09950865060091019,0.07591163367033005,0.05566677078604698,0.03354787081480026,0.2661658525466919,0.11677089333534241,0.04484487697482109,0.04487127065658569,0.0010557894129306078,293.24627685546875,291.8313903808594,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20151109,2015-11-09,97.65316772460938,24.15859031677246,001_1,0.09841658920049667,0.07485004514455795,0.05466640368103981,0.03237910941243172,0.2547687590122223,0.11260199546813965,0.04409131035208702,0.04289734736084938,7.675413507968187E-4,292.14794921875,291.0014953613281,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20151125,2015-11-25,97.65316772460938,24.15859031677246,001_1,0.10999614745378494,0.08430896699428558,0.06048717349767685,0.03733813762664795,0.2367195338010788,0.10718278586864471,0.04223093017935753,0.049050264060497284,0.0026604512240737677,288.9204406738281,287.62982177734375,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20151211,2015-12-11,97.65316772460938,24.15859031677246,001_1,0.12295714765787125,0.09609364718198776,0.06887412816286087,0.04447041451931,0.23196470737457275,0.09729117900133133,0.03955083340406418,0.05738431587815285,0.001359351328574121,287.6837463378906,286.863037109375,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20151227,2015-12-27,97.65316772460938,24.15859031677246,001_1,0.1243663877248764,0.09777335822582245,0.07074873894453049,0.04707728698849678,0.23585127294063568,0.10713569819927216,0.044288504868745804,0.058996010571718216,0.0015271834563463926,286.8890075683594,286.2596435546875,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160112,2016-01-12,97.65316772460938,24.15859031677246,001_1,0.11707587540149689,0.09076080471277237,0.06477303057909012,0.042091015726327896,0.21392449736595154,0.0952775701880455,0.03930894657969475,0.05364476889371872,0.001047359430231154,285.83599853515625,285.4658203125,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160128,2016-01-28,97.65316772460938,24.15859031677246,001_1,0.16749660670757294,0.13654209673404694,0.10340986400842667,0.07833515107631683,0.20716194808483124,0.09501014649868011,0.052233800292015076,0.09062362462282181,0.003359881229698658,281.2700500488281,280.0798645019531,2976
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160213,2016-02-13,97.65316772460938,24.15859031677246,001_1,0.14317774772644043,0.11628679186105728,0.08725842088460922,0.062418218702077866,0.21700513362884521,0.11076995730400085,0.04944932460784912,0.07654247432947159,0.0014441919047385454,289.1578369140625,288.20556640625,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160229,2016-02-29,97.65316772460938,24.15859031677246,001_1,0.1171584203839302,0.09272046387195587,0.07025245577096939,0.04735851287841797,0.23506222665309906,0.1123134195804596,0.04855645075440407,0.0603761151432991,0.0016504882369190454,289.6875305175781,288.4219055175781,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160316,2016-03-16,97.65316772460938,24.15859031677246,001_1,0.18501494824886322,0.16393104195594788,0.1299351006746292,0.11312229186296463,0.21520887315273285,0.11030781269073486,0.07352208346128464,0.12971290946006775,0.03858797997236252,277.1216735839844,273.66864013671875,6896
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160401,2016-04-01,97.65316772460938,24.15859031677246,001_1,0.1179499551653862,0.09409046918153763,0.07745620608329773,0.049879562109708786,0.30968543887138367,0.12101660668849945,0.050925012677907944,0.06472495198249817,0.001138373976573348,290.9880065917969,289.5308837890625,2720
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160417,2016-04-17,97.65316772460938,24.15859031677246,001_1,0.15332092344760895,0.12888039648532867,0.10085614025592804,0.07514683902263641,0.2262418568134308,0.08594252169132233,0.03563687205314636,0.09139601141214371,0.0021146135404706,287.97601318359375,286.2962951660156,2976
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160503,2016-05-03,97.65316772460938,24.15859031677246,001_1,0.25403860211372375,0.24386142194271088,0.24854856729507446,0.2467040866613388,0.44048255681991577,0.3806130290031433,0.28181421756744385,0.21040046215057373,0.0016708738403394818,289.00048828125,286.1985168457031,2800
LANDSAT/LC08/C01/T1_TOA/LC08_132043_20160604,2016-06-04,97.65316772460938,24.15859031677246,001_1,0.12763209640979767,0.10224705934524536,0.08590209484100342,0.054154735058546066,0.4026687741279602,0.17943041026592255,0.06947144120931625,0.07294180244207382,0.0011996260145679116,293.8902587890625,291.51824951171875,2720
